getLunarDateInfo,input参数,,,返回值,,,,调用函数名,,,
1,1800,1,1,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
2,2200,1,1,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
3,1901,-2,20,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
4,1901,13,10,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
5,2000,6,60,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
6,2000,7,-1,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
7,2000,2,30,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
8,2000,2,20,庚辰年,正月大,十六,龙,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
9,1999,2,10,戊寅年,正月大,廿五,虎,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
10,1999,2,29,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
11,1995,8,32,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
12,1900,1,20,己亥年,腊月大,十九,猪,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
13,1900,10,20,庚子年,闰八月小,廿六,鼠,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
14,2000,5,10,庚辰年,四月小,初七,龙,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
15,1988,10,30,戊辰年,九月小,二十,龙,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
16,1899,4,14,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
17,1900,4,14,庚子年,三月小,十五,鼠,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
18,1901,4,14,辛丑年,二月大,廿六,牛,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
19,2099,4,14,己未年,闰二月小,廿四,羊,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
20,2100,4,14,庚申年,三月小,初五,猴,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
21,2101,4,14,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
22,1994,0,14,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
23,1994,1,14,癸酉年,腊月小,初三,鸡,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
24,1994,2,14,甲戌年,正月大,初五,狗,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
25,1994,11,14,甲戌年,十月大,十二,狗,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
26,1994,12,14,甲戌年,十一月小,十二,狗,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
27,1994,13,14,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
28,1994,4,0,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
29,1994,4,1,甲戌年,二月大,廿一,狗,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
30,1994,4,2,甲戌年,二月大,廿二,狗,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
31,1994,4,29,甲戌年,三月大,十九,狗,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
32,1994,4,30,甲戌年,三月大,二十,狗,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
33,1994,4,31,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
34,1994,12,30,甲戌年,十一月小,廿八,狗,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
35,1994,12,31,甲戌年,十一月小,廿九,狗,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
36,1994,12,32,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
37,1994,2,27,甲戌年,正月大,十八,狗,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
38,1994,2,28,甲戌年,正月大,十九,狗,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
39,1994,2,29,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
40,1996,2,28,丙子年,正月小,初十,鼠,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
41,1996,2,29,丙子年,正月小,十一,鼠,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
42,1996,2,30,,,,,differentDaysByMillisecond,_getDayNum,getLeapMonth,getMonthSize
