getNextDateInfo,input参数,,,,返回值,,,,,,,,调用函数名,,,
1,1800,1,1,1,0,输入的日期超出应用可用范围,,,,,,,_validDate,,_getNextDateInfo,
2,2200,1,1,1,0,输入的日期超出应用可用范围,,,,,,,_validDate,,_getNextDateInfo,
3,2001,0,1,1,0,输入的日期不存在,,,,,,,_validDate,,_getNextDateInfo,
4,2001,13,1,1,0,输入的日期不存在,,,,,,,_validDate,,_getNextDateInfo,
5,2007,4,0,1,0,输入的日期不存在,,,,,,,_validDate,,_getNextDateInfo,
6,1905,2,29,1,0,输入的日期不存在,,,,,,,_validDate,,_getNextDateInfo,
7,2010,9,31,1,0,输入的日期不存在,,,,,,,_validDate,,_getNextDateInfo,
8,2011,8,32,1,0,输入的日期不存在,,,,,,,_validDate,,_getNextDateInfo,
9,1904,2,30,1,0,输入的日期不存在,,,,,,,_validDate,,_getNextDateInfo,
10,2100,12,31,1,2,2101,1,1,己丑年,二月小,初二,牛,_validDate,,_getNextDateInfo,
11,2001,1,6,-10,1,2000,12,27,己丑年,二月小,初二,牛,_validDate,_getBackNDateInfo,,
12,2000,8,6,-10,1,2000,7,27,己丑年,二月小,初二,牛,_validDate,_getBackNDateInfo,,
13,2001,1,5,-4,1,2001,1,1,己丑年,二月小,初二,牛,_validDate,_getBackNDateInfo,,
14,2001,8,5,-4,1,2001,8,1,己丑年,二月小,初二,牛,_validDate,_getBackNDateInfo,,
15,2007,12,31,1,1,2008,1,1,己丑年,二月小,初二,牛,_validDate,,_getNextDateInfo,
16,2008,4,5,1,1,2008,4,6,己丑年,二月小,初二,牛,_validDate,,_getNextDateInfo,
17,2008,5,31,1,1,2008,6,1,己丑年,二月小,初二,牛,_validDate,,_getNextDateInfo,
18,2007,12,1,32,1,2008,1,2,己丑年,二月小,初二,牛,_validDate,,,_getNextNDateInfo
19,2008,5,1,3,1,2008,5,4,己丑年,二月小,初二,牛,_validDate,,,_getNextNDateInfo
20,2008,3,10,30,1,2008,4,9,己丑年,二月小,初二,牛,_validDate,,,_getNextNDateInfo
21,2008,11,10,21,1,2008,12,1,己丑年,二月小,初二,牛,_validDate,,,_getNextNDateInfo
22,1900,1,1,-2147483648,0,nextdate的日期超出范围,,,,,,,_validDate,_getBackNDateInfo,,
23,1900,1,1,-1,0,nextdate的日期超出范围,,,,,,,_validDate,_getBackNDateInfo,,
24,1900,1,1,0,1,1900,1,1,己丑年,二月小,初二,牛,_validDate,_getBackNDateInfo,,
25,1900,1,1,1,1,1900,1,2,己丑年,二月小,初二,牛,_validDate,,_getNextDateInfo,
26,1900,1,1,2147483647,0,nextdate的日期超出范围,,,,,,,_validDate,,,_getNextNDateInfo
27,2100,12,31,-2147483648,0,nextdate的日期超出范围,,,,,,,_validDate,_getBackNDateInfo,,
28,2100,12,31,-1,2,2100,12,30,己丑年,二月小,初二,牛,_validDate,_getBackNDateInfo,,
29,2100,12,31,0,2,2100,12,31,己丑年,二月小,初二,牛,_validDate,_getBackNDateInfo,,
30,2100,12,31,1,0,nextdate的日期超出范围,,,,,,,_validDate,,_getNextDateInfo,
31,2100,12,31,2147483647,0,nextdate的日期超出范围,,,,,,,_validDate,,,_getNextNDateInfo
